;CELL SUSPENSION ID (Required);CELL SUSPENSION NAME;CELL SUSPENSION DESCRIPTION;SOURCE TISSUE ID;NCBI TAXON ID (Required);GENUS SPECIES (Required);SPECIES ONTOLOGY ID;SPECIES ONTOLOGY LABEL;ESTIMATED CELL COUNT;WELL LABEL;PLATE LABEL;SELECTED CELL TYPE;CELL TYPE ONTOLOGY ID;CELL TYPE ONTOLOGY LABEL;BIOSAMPLES ID;INSDC BIOMATERIAL ID;DISSOCIATION PROTOCOL ID;ENRICHMENT PROTOCOL ID;CELL MORPHOLOGY;CELL SIZE;CELL SIZE UNIT;LENGTH UNIT ONTOLOGY ID;LENGTH UNIT ONTOLOGY LABEL;GENOTYPE;SUPPLEMENTARY FILES
;A unique ID for the biomaterial.;A short, descriptive name for the biomaterial that need not be unique.;A general description of the biomaterial.;The unique Tissue ID of the tissue this cell suspension was derived from.;A taxonomy ID (taxonID) from NCBI.;The name of the species to which the organism belongs.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Total estimated number of cells in the suspension.;;;The name of a cell type supplied by a user.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;A BioSamples ID.;An International Nucleotide Sequence Database Collaboration (INSDC) sample accession.;An ID of a Dissociation protocol used to generate this cell suspension.;An ID of an Enrichment protocol used to generate this cell suspension.;General description of the morphology of cells.;Size of cells in Cell size unit.;The name of a length unit being used.;An ontology term identifier in the form prefix:accession;The preferred label for the ontology term referred to in the ontology field. This may differ from the user-supplied value in the text field;Genotype of the biomaterial.;A list of filenames of biomaterial-level supplementary files.
;;;;Use a Tissue ID you already provided in the Tissue Tab.; For example: 9606;" For example: Homo sapiens; Mus musculus";" For example: NCBITaxon:9606; NCBITaxon:10090";" For example: Homo sapiens; Mus musculus";Enter 1 for well-based assays. For example: 2100;;;" For example: bone marrow hematopoietic cell; cardiac muscle cell";" For example: CL:1001610; CL:0000746";" For example: bone marrow hematopoietic cell; cardiac muscle cell";Enter ID if sample has been archived. ID can be from the DDBJ, NCBI, or EMBL-EBI and must start with SAMD, SAMN, or SAME, respectively. For example: SAMN00000000;Enter accession if sample has been archived. Accession can be from the DDBJ, NCBI, or EMBL-EBI and must start with DRS, SRS, or ERS, respecitvely. For example: SRS0000000;Use a Dissociation protocol ID you provided in the Dissociation protocol Tab.;Use an Enrichment protocol ID you provided in the Enrichment protocol Tab.;" For example: adherent cells; form single layer colonies";"Enter a single value or a range. Average value is acceptable. For example: 15; 20-30";" For example: micrometer; meter";" For example: UO:0000017; UO:0000008";" For example: micrometer; meter";" For example: DRB1 0401 protective allele; HLA-B*3901 allele";
cell_suspension.uuid;cell_suspension.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.biomaterial_name;cell_suspension.biomaterial_core.biomaterial_description;specimen_from_organism.biomaterial_core.biomaterial_id;cell_suspension.biomaterial_core.ncbi_taxon_id;cell_suspension.genus_species.text;cell_suspension.genus_species.ontology;cell_suspension.genus_species.ontology_label;cell_suspension.estimated_cell_count;cell_suspension.plate_based_sequencing.plate_label;cell_suspension.plate_based_sequencing.well_label;cell_suspension.selected_cell_types.text;cell_suspension.selected_cell_types.ontology;cell_suspension.selected_cell_types.ontology_label;cell_suspension.biomaterial_core.biosamples_accession;cell_suspension.biomaterial_core.insdc_sample_accession;dissociation_protocol.protocol_core.protocol_id;enrichment_protocol.protocol_core.protocol_id;cell_suspension.cell_morphology.cell_morphology;cell_suspension.cell_morphology.cell_size;cell_suspension.cell_morphology.cell_size_unit.text;cell_suspension.cell_morphology.cell_size_unit.ontology;cell_suspension.cell_morphology.cell_size_unit.ontology_label;cell_suspension.biomaterial_core.genotype;cell_suspension.biomaterial_core.supplementary_files
;FILL OUT INFORMATION BELOW THIS ROW;;;;;;;;;;;;;;;;;;;;;;;;
265e21dc-82ba-4e35-ac9c-23d8f31f9b19;GSM2514328_C22;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C22;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467416;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
3241a540-266f-45ff-993c-786976ba6276;GSM2514347_C30;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C30;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467367;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
888233ba-2d0b-4173-85ba-4b2564578c52;GSM2514356_C35;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C35;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467358;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
ad3dc790-4662-476f-b9d0-e3a32386e2ab;GSM2514360_C36;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C36;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467354;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
3517a810-defd-4cb5-b69e-3508b02d502f;GSM2514364_C38;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C38;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467350;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
fc3ceb04-d885-4d4e-8ec8-cda9a8518d3b;GSM2514368_C41;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C41;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467621;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
1c687471-0e75-436c-9d98-e8caa7c04ecb;GSM2514329_C48;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C48;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467415;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
55a59a91-3e13-433a-b807-adf6743dd919;GSM2514333_C49;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C49;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467411;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
2069e634-e82c-461e-9b3f-5da1b6b6cdef;GSM2514338_C50;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C50;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467376;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
06cac022-ab73-42a8-8455-fc8eb8c54a90;GSM2514343_C52;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C52;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467370;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
b22a9c91-d57c-422e-9aed-415c7b02bac5;GSM2514348_C53;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C53;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467366;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
24b05102-588e-4ced-b89d-849a66b40204;GSM2514357_C55;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C55;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467357;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
f9932a71-7cb1-4717-b36c-ebdf952540ed;GSM2514361_C56;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C56;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467353;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
70d66675-6923-415d-9805-85db358ee5bb;GSM2514365_C57;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C57;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467624;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
7aa6d4f0-a51e-445f-97ce-64b93e1bd8f0;GSM2514373_C62;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C62;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467616;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
2fe8a644-6ae4-4f05-a9b4-e49e3ff55d9c;GSM2514330_C66;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C66;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467414;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
1ebb59fe-ec8c-44c0-998d-2ce054f35a3a;GSM2514334_C67;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C67;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467410;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
586ea92a-8113-4031-8ca6-f9ca804c5d83;GSM2514339_C68;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C68;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467375;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
0e9ff0a1-ce30-4f75-8689-7cefcb2d4dac;GSM2514344_C69;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C69;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467369;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
5fc55f12-e3aa-4a94-a947-3d2a9d234b3c;GSM2514349_C71;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C71;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467365;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
5cab40e1-f136-4979-bb88-b9597ae7583c;GSM2514354_C72;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C72;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467360;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
04fbab64-44f6-4444-8f1c-08d9ba15d47c;GSM2514362_C76;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C76;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467352;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
166b42ca-3d53-4cb5-bbb6-e4592af9b2b7;GSM2514366_C77;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C77;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467623;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
bd48cb3b-d195-4dcc-be5b-1679ab4fed67;GSM2514370_C78;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C78;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467619;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
133ff226-914d-4353-9f96-884a784e9f16;GSM2514374_C81;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C81;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467615;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
0a0081aa-d1bf-4951-96a3-4f31d675b34d;GSM2514378_C85;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C85;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467611;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
fd524614-7f01-43f0-8309-8ad56d7434f2;GSM2514340_C91;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C91;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467373;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
a746c957-393a-48e9-8509-ca30feacec49;GSM2514350_C95;;Human UC donor, inflammed colon, stromal cell;Human_S5_UC_inflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C95;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467364;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
5fd1f924-2021-4cb2-8c24-ffff81443278;GSM2514341_C06;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C06;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467372;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
03ed317e-4e37-458c-83fc-20d5834566c0;GSM2514355_C11;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C11;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467359;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
cdb7357e-09d2-4736-9c74-dfc3badbff61;GSM2514363_C16;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C16;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467351;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
5cc41a51-6022-43fc-935f-0432a0701032;GSM2514367_C17;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C17;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467622;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
4ee3195d-20d7-4d15-bf5e-ead3931d0e59;GSM2514371_C19;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C19;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467618;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
87ac8209-bbb9-4e29-bd45-d78aab8d5c25;GSM2514375_C20;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C20;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467614;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
cb0903b1-776d-4ab2-b1a8-5a38de32b810;GSM2514332_C23;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C23;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467412;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
f0ea3fbb-446c-44f8-b62b-50c31b6cca37;GSM2514337_C24;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C24;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467377;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
cfdce2c2-6b2a-4dbb-b14d-5b4034080490;GSM2514342_C26;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C26;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467371;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
dc6397b3-68e5-4dfa-9ebf-c6f49ca233ee;GSM2514352_C32;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C32;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467362;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
4e1b1c7d-1672-4514-97c4-5ef7022ea8c9;GSM2514372_C44;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C44;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467617;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
2c44243b-f1fe-4e95-96ea-918ed04b4e03;GSM2514376_C47;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C47;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467613;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
2a930cc4-5eab-408b-a0a4-ef701243b1bd;GSM2514353_C54;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C54;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467361;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
66a52dfd-3e6c-4971-ad3e-852744ce6ba3;GSM2514369_C59;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C59;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467620;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
3642cec4-a451-4ec5-b29c-54754ea38f20;GSM2514377_C65;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C65;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467612;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
64b41549-54bc-4fb6-8d15-ffabf6427b9d;GSM2514358_C75;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C75;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467356;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
887b6f09-34b8-48bc-b019-ee4e172825f9;GSM2514331_C86;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C86;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467413;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
82d4ecd9-4342-4dcc-94ef-9672c8738adb;GSM2514335_C90;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C90;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467379;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
ace169cb-271e-47ef-9e50-502416c89153;GSM2514345_C94;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C94;20160513;stromal cell;CL:0000499;stromal cell;SAMN06467374;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
61e1b2c1-4348-41f1-943a-405e892fb606;GSM2514388_C08;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C08;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467601;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
a31a10e7-ce9f-4388-9403-98a5eff99889;GSM2514394_C14;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C14;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467595;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
6a0b8e31-ee12-4657-ad27-9cc2bc8d0090;GSM2514396_C19;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C19;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467408;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
cb3b3a1e-83f2-48ac-9943-47f09bad1ec7;GSM2514398_C20;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C20;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467406;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
63192372-b9a1-4b12-a926-efe90f044e31;GSM2514400_C23;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C23;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467404;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
5946c6d6-83ee-4955-ab58-7c2b2ff869b6;GSM2514402_C37;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C37;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467402;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
a0925dd2-7dbc-4696-a593-9e8dd855d2da;GSM2514380_C38;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C38;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467609;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
39bb5d3c-bfec-483d-8856-f637217dfe2e;GSM2514383_C43;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C43;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467606;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
78a31d47-cde0-4504-8399-78abbfa2a25c;GSM2514386_C46;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C46;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467603;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
54e0d698-b92a-4e28-9426-3d42ba5749b4;GSM2514387_C52;;Human UC donor, noninflammed colon, stromal cell;Human_S5_UC_noninflammed_colon;9606;Homo sapiens;NCBITaxon:9606;Homo sapiens;1;C52;20160517;stromal cell;CL:0000499;stromal cell;SAMN06467602;;human_stromal_cell_enzymatic_dissociation||human_stromal_cell_mechanical_dissociation;human_non_stromal_cell_depletion||size_selection;;;;;;;
